Mw,Rhyp,Vs30,FM,SA(T=0),SA(T=0.01),SA(T=0.015),SA(T=0.02),SA(T=0.03),SA(T=0.04),SA(T=0.05),SA(T=0.06),SA(T=0.075),Sa(T0.09),Sa(T0.1),Sa(T0.15),Sa(T=0.2),Sa(T=0.3),Sa(T=0.4),Sa(T=0.5),Sa(T=0.6),Sa(T=0.7),Sa(T=0.75),Sa(T=0.8),Sa(T=0.9),Sa(T=1),Sa(T=1.2),Sa(T=1.5),Sa(T=2),Sa(T=2.5),Sa(T=3),Sa(T=4)
6.21,966.3587198,399,3,5.6403E-05,5.641302E-05,5.6428465E-05,5.644391E-05,5.646114E-05,5.650519E-05,5.664483E-05,5.727237E-05,5.869368E-05,5.785751E-05,5.657E-05,0.0001070981,5.898493E-05,5.758289E-05,7.378626E-05,8.328509E-05,6.955006E-05,7.599148E-05,7.88784E-05,8.450737E-05,9.42297E-05,9.199126E-05,0.0001049019,0.0001517227,0.0002099912,0.0002085016,0.0001991658,0.0001342695
6.21,795.7275347,455,3,9.2936E-05,9.295849E-05,9.299264E-05,9.302679E-05,9.314173E-05,9.330556E-05,9.348783E-05,9.38028E-05,9.401896E-05,9.493508E-05,9.509895E-05,9.947544E-05,0.0001094272,0.0001583065,0.000194802,0.0001818448,0.0002124418,0.000210868,0.0002317199,0.0002075396,0.0002124613,0.0002333002,0.0002316876,0.0002640561,0.0002241759,0.0001861688,0.0001485893,9.133447E-05
6.21,534.4371901,635,3,0.00014169,0.0001417398,0.0001418194,0.000141899,0.0001422737,0.0001426924,0.0001451757,0.0001455086,0.0001452948,0.000157509,0.0001631005,0.0001798354,0.0002396886,0.0002976602,0.0004058947,0.0004222163,0.0004804959,0.0004507014,0.0004161782,0.0003862709,0.0003462871,0.0002812702,0.0003540234,0.0002080327,9.283015E-05,5.943694E-05,4.716844E-05,2.575993E-05
6.21,982.438135,635,3,2.1718E-05,2.171877E-05,2.171988E-05,2.172099E-05,2.172514E-05,2.173449E-05,2.174673E-05,2.174358E-05,2.178011E-05,2.193511E-05,2.18384E-05,2.227102E-05,2.211295E-05,2.350299E-05,2.340853E-05,2.511334E-05,2.753036E-05,3.011711E-05,2.875942E-05,2.820444E-05,3.173132E-05,3.695603E-05,4.774681E-05,7.883806E-05,5.992542E-05,4.626306E-05,5.099665E-05,4.61596E-05
6.21,967.5204574,453,3,1.9725E-05,1.972527E-05,1.9725655E-05,1.972604E-05,1.97271E-05,1.972762E-05,1.975618E-05,1.97625E-05,1.979651E-05,2.135978E-05,2.005744E-05,2.214904E-05,2.407626E-05,3.279224E-05,5.862837E-05,6.006684E-05,2.899922E-05,3.739517E-05,3.680755E-05,3.710454E-05,4.292738E-05,4.512829E-05,4.271509E-05,5.136939E-05,5.179196E-05,6.718506E-05,7.209933E-05,5.463322E-05
6.22,374.1840394,455,3,0.00031545,0.0003157717,0.0003162635,0.0003167553,0.0003184851,0.0003212555,0.0003224224,0.0003279292,0.0003500542,0.0003526571,0.0003398081,0.0004281327,0.0004849361,0.0007891607,0.001083373,0.000750844,0.0007519384,0.001150265,0.001134609,0.001166356,0.0007174524,0.0004161541,0.0002693012,0.0002492077,0.0001165733,7.825762E-05,7.266023E-05,3.800909E-05
6.22,965.7189623,455,3,9.1534E-06,9.154073E-06,9.155017E-06,9.155961E-06,9.159173E-06,9.164162E-06,9.15799E-06,9.178409E-06,9.222226E-06,9.221094E-06,9.22348E-06,9.302722E-06,9.378834E-06,1.03218E-05,1.106644E-05,1.449934E-05,1.449949E-05,1.584081E-05,1.577486E-05,1.762393E-05,1.671951E-05,1.590999E-05,1.936382E-05,2.156308E-05,2.756015E-05,2.686088E-05,2.711887E-05,1.789871E-05
6.24,798.2734392,635,3,2.3151E-05,2.315439E-05,2.315947E-05,2.316455E-05,2.318165E-05,2.320633E-05,2.324427E-05,2.328073E-05,2.331848E-05,2.341035E-05,2.359335E-05,2.493617E-05,2.580425E-05,4.520441E-05,4.272036E-05,6.07171E-05,6.694527E-05,6.008792E-05,6.619373E-05,5.859693E-05,4.840036E-05,5.09129E-05,5.402402E-05,5.677417E-05,4.086267E-05,3.433328E-05,3.211664E-05,1.944076E-05
6.12,76.3389905,635,3,0.0010531,0.001057847,0.0010676555,0.001077464,0.001113163,0.001218817,0.001648491,0.002471803,0.002055233,0.002002773,0.001897771,0.002224516,0.002153603,0.002733101,0.002452141,0.002861518,0.001915213,0.002340892,0.001785449,0.001396926,0.001644519,0.001609326,0.001320046,0.0007326232,0.0006456173,0.0004584498,0.0003354559,0.0002965304
6.09,813.4825075,455,3,5.6922E-05,5.693638E-05,5.695838E-05,5.698038E-05,5.70543E-05,5.71588E-05,5.739248E-05,5.758395E-05,5.810249E-05,5.90094E-05,6.013532E-05,7.022973E-05,9.178536E-05,0.0001102679,0.0001574344,0.0001669639,0.0002202005,0.0003271646,0.0002658248,0.0001975973,0.0001758656,0.0001055502,6.157213E-05,4.057734E-05,2.03051E-05,1.509987E-05,9.976621E-06,1.165176E-05
6.09,406.0965072,635,3,0.00015284,0.0001528676,0.0001529022,0.0001529368,0.0001530327,0.0001533738,0.0001544298,0.0001538891,0.0001570943,0.0001647523,0.0001600653,0.0001708326,0.0001950436,0.0002955578,0.0003986846,0.000537241,0.0005715497,0.0004771221,0.0005161847,0.000432042,0.0004530535,0.000262364,0.0002709213,0.0001237161,0.0001019375,6.460692E-05,7.784265E-05,6.008092E-05
6.09,403.9211016,635,3,6.1876E-05,6.192298E-05,6.199641E-05,6.206984E-05,6.232943E-05,6.320567E-05,6.575611E-05,7.791183E-05,8.039807E-05,7.863285E-05,7.603611E-05,8.282962E-05,9.303435E-05,0.0001554231,0.0001353119,0.0001494603,0.0001642314,0.000180809,0.0001899988,0.0001873437,0.0001324045,0.0001283559,0.0001215497,7.839893E-05,7.536258E-05,6.520109E-05,7.314225E-05,5.351389E-05
6.12,80.3508534,635,3,0.0046331,0.004655078,0.0046897585,0.004724439,0.004853603,0.005087152,0.005298835,0.005878968,0.009681271,0.008920457,0.009857587,0.01761708,0.009169294,0.008304426,0.007713425,0.007504235,0.005924819,0.005979133,0.005132233,0.004164907,0.003614724,0.004151189,0.003205144,0.002212196,0.00237282,0.001643446,0.001189995,0.0005863329
6.12,833.5318144,455,3,6.4808E-05,6.482378E-05,6.484726E-05,6.487074E-05,6.494963E-05,6.506113E-05,6.519991E-05,6.544605E-05,6.573352E-05,6.578137E-05,6.724501E-05,7.99068E-05,0.0001049913,0.000140353,0.0001425305,0.0001639786,0.0002498267,0.0003606525,0.0003255712,0.0002607637,0.000169681,0.0001324263,9.809362E-05,7.193813E-05,5.123899E-05,3.357298E-05,2.229168E-05,1.030378E-05
6.12,427.3928551,635,3,0.00019852,0.000198587,0.00019869645,0.0001988059,0.0001992385,0.0002003672,0.0002020615,0.0002034278,0.0002043227,0.0002242587,0.000219374,0.000227942,0.000254237,0.0003276113,0.0005086128,0.0007381421,0.0007375373,0.0006573987,0.0006666395,0.0005612354,0.0004922831,0.0005598813,0.000413866,0.0003557806,0.0002197343,0.0001193495,0.0001047943,5.538912E-05
